"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Modified"
"Sample Name:","AP01_2705"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","17/06/2025 10:20:32"
"Comments"
"[Instrument Information]"
"Instrument Name:","Fluoro"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500667SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","240.0 nm"
"EX Wavelength End:","450.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","250.0 nm"
"EM Wavelength End:","600.0 nm"
"Data Interval:","2.0 nm"
"Scan Speed:","6000 nm/min"
"[Instrument]"
"EX Bandwidth:","3.0 nm"
"EM Bandwidth:","3.0 nm"
"Sensitivity:","High"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"AP01_2705.fs3f - CorrectionData"
"EX Wavelength/EM Wavelength",250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450,452,454,456,458,460,462,464,466,468,470,472,474,476,478,480,482,484,486,488,490,492,494,496,498,500,502,504,506,508,510,512,514,516,518,520,522,524,526,528,530,532,534,536,538,540,542,544,546,548,550,552,554,556,558,560,562,564,566,568,570,572,574,576,578,580,582,584,586,588,590,592,594,596,598,600,
240,-121.209,-146.095,-102.899,-91.243,-40.618,-15.434,-32.180,-63.898,-59.854,-69.140,-56.842,-55.599,-56.318,-58.842,-53.265,-46.291,-45.134,-38.236,-38.002,-43.067,-38.993,-36.747,-33.085,-28.304,-33.282,-33.556,-35.435,-24.389,-27.912,-24.721,-27.555,-29.998,-23.808,-21.388,-29.512,-21.210,-20.009,-22.303,-25.087,-22.345,-24.748,-13.892,-21.703,-16.106,-20.818,-17.781,-13.348,-12.755,-15.797,-9.424,-3.585,-4.596,-9.888,-0.015,-0.592,-5.302,-7.685,-1.125,-2.265,8.625,4.561,5.117,10.577,2.585,17.888,13.129,10.870,12.925,11.605,20.277,12.373,27.007,18.040,15.887,19.988,22.347,20.645,20.221,13.838,31.134,28.093,24.459,26.278,27.434,22.647,32.717,30.314,23.860,24.040,20.783,21.946,21.709,28.434,41.212,28.947,33.531,38.711,31.193,35.468,24.452,21.323,27.349,25.867,32.026,20.889,23.753,20.592,8.772,12.984,18.736,25.914,18.220,31.497,113.530,185.028,240.541,200.609,105.115,44.142,11.882,18.936,15.284,5.655,6.703,9.313,-5.025,6.693,10.605,4.286,4.383,0.414,1.439,-3.131,2.561,1.605,12.837,13.039,12.674,-4.740,-1.009,3.385,-14.944,-17.329,-5.695,-16.915,-23.058,-16.573,-19.662,-10.530,-14.682,-17.479,-19.529,-14.493,-26.129,-16.931,-25.281,-9.072,-23.176,-28.433,-21.775,-30.209,-31.039,-22.239,-33.012,-32.291,-26.904,-36.866,-35.656,-35.173,-23.315,-31.420,-35.889,-35.097,-33.559,-36.515,-47.280,
245,-61.481,-87.552,-85.578,-57.608,-65.532,-55.166,-51.243,-18.507,-9.739,16.919,-0.054,-30.710,-39.769,-38.818,-36.978,-34.949,-27.831,-33.833,-29.330,-36.731,-23.306,-25.749,-28.984,-33.539,-23.630,-26.604,-22.618,-20.802,-19.245,-20.840,-23.979,-18.092,-19.245,-17.269,-20.028,-18.362,-19.787,-15.755,-17.723,-12.488,-15.739,-12.942,-12.577,-16.637,-12.399,-11.710,-14.475,-6.832,-7.744,-1.011,-8.146,-3.878,-7.057,2.265,0.199,3.898,2.142,1.724,3.487,0.548,5.741,4.079,14.992,13.655,9.060,10.628,11.401,35.149,20.844,22.052,23.478,14.856,20.030,23.507,17.596,25.829,23.729,27.268,31.663,28.037,30.198,33.504,29.049,20.484,32.074,28.718,26.890,31.540,28.227,38.606,29.227,31.719,30.009,27.733,26.666,31.790,42.515,30.059,31.965,30.886,32.185,27.055,25.735,31.058,27.968,25.102,23.730,23.703,18.190,23.848,18.839,27.830,25.635,12.409,21.501,19.899,17.713,40.017,116.889,210.647,294.050,221.814,119.979,35.208,28.923,15.117,3.218,6.618,10.306,13.435,2.829,2.130,2.824,11.407,-1.591,2.081,2.580,-2.628,0.536,-5.199,1.870,3.633,1.767,6.159,-1.485,-10.217,-0.241,-5.486,-11.306,-8.529,-11.464,-7.092,-12.274,-14.700,-14.569,-11.755,-14.886,-13.715,-16.447,-24.562,-14.045,-15.195,-15.608,-17.528,-28.725,-18.541,-23.145,-12.957,-27.880,-25.352,-18.362,-27.571,-23.546,-25.422,-25.640,-28.860,
250,2005.882,1169.106,166.573,-46.447,-49.926,-47.047,-50.373,-36.359,-38.691,-22.970,-8.813,7.871,8.662,-7.827,-21.591,-26.446,-26.041,-19.349,-25.334,-23.237,-21.785,-18.915,-20.184,-19.055,-14.196,-14.181,-20.748,-12.169,-17.026,-20.586,-15.924,-18.942,-21.137,-13.839,-10.347,-14.833,-13.472,-10.911,-15.009,-6.112,-9.641,-12.718,-10.803,-5.693,-9.423,-9.673,-7.659,-6.207,-3.242,0.392,0.841,-3.058,2.446,5.727,8.562,8.458,6.286,7.809,14.125,9.218,11.537,17.206,17.406,19.029,17.858,16.181,17.875,27.989,18.680,19.592,18.422,20.466,26.332,29.461,23.482,28.138,34.305,22.959,28.255,23.583,29.305,25.844,23.300,30.763,33.967,35.348,32.198,35.931,38.059,33.351,35.670,32.522,31.614,37.785,26.357,34.538,30.121,28.123,27.586,41.324,30.062,38.342,33.028,34.156,33.547,23.911,27.752,38.493,29.833,30.163,20.506,33.808,25.398,24.393,16.740,27.810,21.904,29.784,20.822,24.615,15.670,11.898,45.063,105.738,246.719,307.704,259.787,127.036,36.233,13.657,7.366,10.074,11.803,0.602,15.584,6.001,-1.744,4.287,2.274,4.959,2.880,-4.789,-3.461,-3.136,-0.565,7.232,11.794,4.188,11.197,2.207,4.175,0.224,-3.237,-10.812,-3.852,-1.566,-12.805,-11.617,-10.759,-11.832,-12.625,-17.770,-13.367,-13.529,-14.054,-18.434,-15.098,-17.419,-15.405,-17.063,-17.904,-12.460,-17.078,-16.174,-25.539,-12.106,
255,37.501,535.802,1673.553,1591.619,567.124,16.775,-39.896,-37.554,-32.532,-24.640,-32.415,-29.492,-20.407,8.361,43.656,38.098,8.765,-14.891,-16.872,-17.987,-20.295,-21.191,-21.269,-15.704,-16.708,-16.780,-15.058,-12.899,-14.872,-14.512,-10.378,-9.719,-14.202,-10.151,-10.385,-9.728,-7.731,-11.155,-11.636,-6.210,-2.176,-9.435,-6.497,-4.286,-4.327,-7.184,-3.923,-4.695,-0.717,-3.360,0.508,7.186,3.603,-2.797,10.433,14.318,6.939,11.272,12.253,12.493,18.265,22.129,22.679,23.529,15.635,18.082,25.188,22.419,28.823,33.235,36.158,36.557,37.873,33.329,35.535,41.852,36.836,44.020,35.994,35.158,50.750,46.209,36.273,40.930,44.306,35.708,40.500,39.562,46.822,54.652,42.048,48.275,42.634,41.352,38.084,47.263,46.377,45.140,47.482,43.819,44.966,37.078,45.100,53.251,37.899,34.491,36.657,39.710,39.858,33.734,35.921,41.758,39.439,30.342,35.738,33.052,26.669,28.487,37.001,29.618,20.178,34.413,29.836,23.767,18.289,19.077,22.831,45.611,120.878,270.739,393.894,323.909,189.598,61.554,23.195,13.537,13.709,13.715,0.315,12.298,8.681,4.272,11.282,9.903,7.936,-0.811,3.752,7.784,-0.900,1.482,0.387,0.235,8.774,6.923,13.102,6.954,-0.495,-2.097,-9.705,-2.639,-6.681,-11.730,-12.685,-9.868,-9.578,-14.852,-5.790,-13.350,-11.654,-13.492,-15.053,-17.087,-13.593,-13.822,-16.718,-18.690,
260,-48.322,-58.170,-44.987,150.290,1019.128,2100.151,1274.327,239.381,-15.926,-28.830,-23.015,-25.532,-21.829,-15.635,-19.950,-11.771,8.267,28.779,35.042,3.930,-4.957,-10.047,-16.034,-13.462,-14.259,-12.116,-13.769,-8.836,-6.220,-5.450,-5.660,-10.783,-9.701,-8.264,-3.357,-3.316,-4.242,-2.694,-1.617,-5.936,-6.236,-3.011,-4.486,0.140,1.108,-2.255,-1.863,0.099,2.949,2.010,0.809,5.038,12.101,6.450,7.122,5.445,13.109,12.237,15.051,18.099,18.467,22.435,20.220,22.842,29.172,24.985,27.035,29.072,23.971,22.722,23.034,27.478,30.912,31.613,35.575,32.879,36.287,32.512,48.454,38.307,40.562,40.679,38.922,51.449,46.152,45.249,42.308,43.182,52.049,47.543,49.351,48.927,48.349,41.854,50.321,37.661,44.347,46.816,45.679,34.195,37.507,46.014,44.912,44.506,44.694,42.634,39.083,35.634,49.048,37.429,30.612,50.767,49.073,35.530,30.213,31.601,37.005,28.521,41.412,24.475,34.477,33.520,25.749,30.934,31.604,36.197,19.525,21.635,21.846,27.875,22.164,19.920,34.916,130.522,305.751,440.017,409.988,242.220,80.651,25.540,14.992,14.645,10.537,13.007,9.027,7.903,4.390,7.819,4.005,4.178,0.234,6.324,0.089,6.805,1.152,4.155,-2.544,1.570,4.430,9.429,10.890,11.499,7.859,5.382,-1.163,-8.043,-7.461,-9.609,-3.591,-10.430,-7.871,-8.671,-7.739,-5.130,-13.650,-8.825,
265,-44.786,-33.698,-31.150,-28.267,-30.432,27.010,591.139,1785.325,1743.203,585.489,31.508,-10.646,-13.438,-10.384,-10.949,-15.852,-11.532,-9.195,-5.848,19.280,34.962,28.964,7.501,-0.806,-6.982,-6.165,-8.876,-8.776,-7.220,-8.315,-6.025,-4.750,-4.258,-2.187,-4.814,-3.795,-3.916,-0.203,-3.186,0.375,3.547,2.031,3.558,1.518,3.967,-0.346,4.193,6.459,3.970,5.340,10.848,10.264,7.616,10.958,4.857,12.424,11.336,15.869,14.084,17.959,13.724,24.477,16.357,20.740,21.264,20.130,19.112,24.554,26.481,26.067,29.936,28.325,27.348,35.668,29.003,28.523,33.588,31.574,31.464,34.542,39.198,34.643,31.147,43.790,40.441,38.915,39.460,40.598,34.755,39.314,41.656,41.440,39.623,44.940,42.302,51.206,48.660,47.084,44.850,44.216,47.137,41.280,38.819,35.972,48.046,37.866,38.315,41.031,36.583,38.881,39.520,39.329,33.738,30.225,35.459,38.002,42.764,30.038,29.883,26.598,28.112,25.341,29.375,31.254,22.896,21.671,28.136,24.828,19.513,22.927,20.491,20.515,14.284,12.625,16.112,15.533,26.166,44.262,152.978,345.855,458.895,402.633,189.793,57.755,21.483,12.381,12.507,10.514,2.796,6.808,4.455,6.358,6.428,4.992,8.261,3.231,5.559,-0.487,2.390,-1.467,2.572,-2.546,2.123,1.370,5.872,4.538,11.088,7.473,5.303,0.097,1.904,-4.322,-3.933,-4.804,-8.902,-5.770,
270,-43.085,-30.897,-26.861,-22.215,-19.438,-16.961,-15.754,-12.270,174.851,1247.944,2124.233,1130.709,208.800,-1.819,-9.382,-7.435,-9.142,-8.213,-7.775,-3.824,-4.445,-0.654,17.219,43.556,32.326,19.978,0.658,-0.117,-2.030,-1.584,3.133,-2.188,-3.818,-2.552,-0.231,-0.514,0.956,3.552,3.817,3.659,1.587,2.086,3.547,4.570,3.422,5.521,8.520,6.606,6.499,8.405,6.043,7.443,9.017,9.034,10.537,15.600,13.234,15.256,16.806,16.400,16.966,19.908,16.255,18.978,23.390,23.799,21.630,23.396,21.042,26.267,25.640,28.565,26.532,35.386,30.406,30.500,26.352,30.099,35.074,38.536,36.485,35.077,34.656,31.693,35.428,36.233,34.838,36.379,36.873,37.377,39.368,40.661,41.847,39.682,40.224,43.315,43.320,41.986,35.613,42.426,41.133,41.483,42.773,38.632,36.703,36.840,35.850,37.671,36.882,33.224,35.998,31.548,28.796,35.771,33.843,37.345,30.224,30.976,30.716,31.693,27.326,31.319,27.426,27.949,26.259,27.222,26.358,25.234,23.106,24.685,20.833,20.552,15.986,20.091,17.691,22.836,16.278,12.938,15.535,11.838,14.386,16.998,48.140,139.949,348.311,475.294,410.690,238.801,69.136,18.208,9.288,7.084,14.742,5.488,5.602,1.999,4.860,2.816,7.795,5.434,0.339,-2.503,-0.191,-0.898,-0.553,1.242,2.277,2.927,3.486,1.572,7.628,4.640,7.954,4.350,10.670,6.089,
275,-28.023,-25.519,-24.827,-20.416,-15.043,-15.923,-12.295,-12.943,-13.900,-12.815,42.155,629.141,1786.389,1737.812,452.197,35.469,-1.597,-6.461,-1.252,-1.851,-3.829,-3.394,-4.595,1.062,1.436,18.065,36.702,43.288,17.721,8.372,1.802,1.474,3.185,4.732,0.819,2.631,4.877,2.950,5.283,3.635,3.480,4.786,9.019,3.340,5.751,8.820,6.436,6.505,7.928,10.607,11.117,10.910,8.755,11.422,15.382,15.220,17.134,14.255,15.375,16.341,18.299,18.258,20.661,22.275,17.867,26.881,22.378,24.781,23.023,25.733,27.884,23.637,24.939,29.422,26.034,30.644,31.660,29.138,28.397,31.171,33.226,38.155,31.845,33.136,38.292,37.683,37.568,34.057,30.966,36.723,30.323,35.262,41.188,35.675,40.164,37.832,37.598,36.911,37.508,36.656,35.981,36.988,41.993,39.019,38.109,30.553,35.045,37.295,38.682,32.508,32.726,39.959,31.177,33.797,29.945,27.599,28.843,27.432,27.206,28.001,28.860,26.343,26.021,27.950,30.460,24.861,22.876,21.707,19.709,16.896,20.150,19.434,17.443,20.576,16.406,19.236,13.883,18.244,14.749,11.465,14.147,11.048,12.866,12.791,13.902,10.908,16.251,44.487,156.114,381.599,500.729,402.788,197.229,73.175,10.946,2.609,4.701,8.845,4.675,3.199,6.163,2.962,5.813,-0.513,0.404,0.968,1.604,3.194,4.950,-3.914,-3.934,-0.412,-4.428,-3.777,0.918,0.312,
280,-31.437,-20.854,-20.904,-15.554,-9.525,-14.421,-13.904,-12.549,-11.388,-12.587,-9.961,-6.914,-1.204,253.956,1394.593,2050.712,940.326,118.508,1.559,-1.267,-1.962,0.556,0.964,-1.473,0.326,2.911,1.555,7.312,18.088,28.974,35.838,18.778,10.503,7.471,3.495,7.606,4.986,4.500,4.153,8.975,8.008,9.629,5.858,7.444,8.260,10.302,12.163,11.848,9.741,11.597,12.117,7.966,13.652,16.529,13.568,16.174,12.024,17.043,16.235,19.378,21.929,18.324,19.324,20.509,17.850,24.213,27.070,24.514,24.955,24.333,26.215,24.527,25.698,28.734,26.580,30.497,31.633,31.080,31.924,34.384,26.896,35.510,31.528,28.349,37.964,34.927,34.674,32.390,38.231,35.099,35.672,33.841,36.424,43.198,33.474,34.904,35.484,38.883,37.672,34.848,37.922,37.087,36.345,31.901,31.535,34.702,34.670,34.781,33.569,34.081,34.049,34.204,30.272,32.521,31.511,30.388,27.135,24.037,24.067,25.550,27.707,24.768,25.503,20.595,24.454,20.342,23.792,24.689,24.329,21.551,20.370,20.512,18.401,20.475,15.355,17.009,14.029,14.677,14.519,17.208,12.679,12.261,11.549,13.613,14.977,10.441,9.807,9.906,6.898,6.769,9.054,14.733,66.844,182.507,399.159,519.231,391.804,192.864,57.830,9.798,5.066,4.849,-0.178,4.309,4.221,1.340,1.347,2.014,-1.185,2.220,-0.620,0.182,0.666,-3.333,1.499,0.429,
