"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Modified"
"Sample Name:","SP02_240625"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","30/07/2025 13:20:25"
"Comments"
"[Instrument Information]"
"Instrument Name:","Fluoro"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500667SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","240.0 nm"
"EX Wavelength End:","450.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","250.0 nm"
"EM Wavelength End:","600.0 nm"
"Data Interval:","2.0 nm"
"Scan Speed:","6000 nm/min"
"[Instrument]"
"EX Bandwidth:","3.0 nm"
"EM Bandwidth:","3.0 nm"
"Sensitivity:","High"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"SP02_240625.fs3f - CorrectionData"
"EX Wavelength/EM Wavelength",250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450,452,454,456,458,460,462,464,466,468,470,472,474,476,478,480,482,484,486,488,490,492,494,496,498,500,502,504,506,508,510,512,514,516,518,520,522,524,526,528,530,532,534,536,538,540,542,544,546,548,550,552,554,556,558,560,562,564,566,568,570,572,574,576,578,580,582,584,586,588,590,592,594,596,598,600,
240,-137.509,-157.011,-113.154,-74.722,-45.716,-46.409,-30.961,-61.736,-54.715,-56.241,-60.687,-50.516,-53.241,-41.120,-44.035,-56.212,-44.469,-37.184,-46.211,-38.607,-38.276,-38.867,-37.651,-30.576,-30.100,-35.015,-25.358,-25.639,-35.594,-22.519,-21.710,-29.088,-19.576,-13.303,6.185,0.503,11.223,21.775,22.460,17.581,19.517,28.099,33.429,33.546,53.584,52.201,23.234,45.713,25.863,28.624,37.912,43.551,38.416,27.589,34.519,24.728,33.299,20.155,23.880,22.694,26.619,21.435,25.246,18.016,36.369,14.809,24.660,14.723,10.578,32.020,17.324,17.535,18.371,32.263,24.275,11.262,16.601,14.081,7.693,14.091,14.085,24.818,23.328,18.975,11.137,26.855,19.472,16.147,5.169,13.425,24.236,13.128,15.879,10.359,13.227,7.595,12.334,20.151,5.013,14.738,24.584,17.786,13.966,17.181,21.012,22.599,10.121,6.160,16.869,15.367,1.052,11.127,38.694,145.522,348.176,561.450,514.676,276.568,62.615,16.866,4.686,10.569,-6.105,0.629,-5.415,-0.775,-6.530,3.281,-1.520,-11.446,-4.019,-12.087,-6.232,-5.340,-10.347,-4.542,3.614,-3.034,-11.252,-7.145,-10.378,-18.802,-16.561,-27.012,-22.427,-20.185,-14.654,-19.006,-19.866,-21.919,-18.089,-12.714,-22.330,-20.315,-13.945,-29.288,-32.194,-27.584,-4.313,-28.030,-28.748,-28.646,-24.413,-24.854,-26.164,-37.605,-34.333,-30.992,-34.651,-40.870,-31.138,-39.543,-30.251,-27.798,-36.106,-34.904,
245,-20.890,-101.740,-88.019,-76.586,-57.697,-58.324,-55.043,-35.599,-22.332,-28.529,-19.068,-34.248,-33.204,-44.921,-44.213,-41.384,-25.367,-29.670,-30.092,-31.011,-28.374,-27.538,-30.040,-23.775,-32.724,-25.515,-26.995,-30.094,-17.927,-22.354,-13.551,-18.393,-16.201,-9.854,1.152,5.410,20.459,26.748,18.991,21.105,13.303,30.940,34.793,40.995,41.680,60.594,46.537,41.987,36.783,39.597,32.420,34.362,24.787,35.993,43.589,41.233,39.003,39.586,39.007,24.880,40.641,33.892,34.042,21.460,22.888,22.732,28.190,26.253,41.172,26.984,28.721,29.756,23.162,14.308,24.810,19.311,19.297,25.572,25.686,19.133,14.628,20.718,16.325,23.380,26.167,19.721,20.644,19.631,28.299,28.021,27.467,16.781,23.252,28.502,20.316,21.934,14.562,21.881,24.371,25.944,21.908,16.235,16.791,14.917,14.681,20.312,16.170,21.884,6.477,9.419,12.856,5.008,2.929,5.635,4.008,8.357,18.011,57.990,149.707,304.302,410.995,326.901,191.782,54.057,20.839,4.174,3.058,-2.744,-4.366,-3.797,4.540,5.091,-6.989,-0.375,-7.304,0.127,-8.480,-0.181,1.918,-12.533,-4.725,0.258,8.653,-3.221,-6.472,-0.612,-11.526,-11.493,-3.249,-14.642,-7.960,-19.060,-19.854,-17.971,-11.606,-11.662,-17.377,-19.183,-8.203,-18.193,-21.477,-15.303,-14.895,-7.240,-19.410,-22.259,-26.735,-16.571,-27.989,-23.035,-22.206,-29.992,-24.726,-31.294,-35.838,-26.003,
250,3307.577,2014.865,316.760,-32.442,-40.857,-42.705,-35.322,-40.861,-42.631,-32.377,-7.856,10.189,-6.117,-9.329,-30.089,-21.478,-30.269,-29.455,-28.811,-24.701,-26.947,-26.983,-15.139,-17.013,-16.767,-12.567,-16.287,-19.016,-13.884,-17.961,-13.707,-10.990,-6.512,-3.217,0.922,10.976,13.164,5.221,17.848,23.203,14.953,28.714,33.142,36.570,35.922,32.382,33.915,37.061,28.491,29.062,24.860,42.226,39.495,28.649,40.571,33.942,24.911,34.197,28.597,25.169,17.719,25.842,23.735,27.040,22.201,24.423,20.200,25.779,21.381,18.964,16.344,15.770,28.520,22.236,22.891,14.516,27.143,22.938,30.367,24.518,27.625,22.309,28.263,27.670,31.470,21.391,29.012,21.622,21.712,27.111,22.965,28.256,24.524,31.385,22.670,26.457,20.041,24.533,19.350,24.017,26.529,20.105,21.699,25.992,20.280,27.079,24.281,16.445,14.588,19.767,14.678,17.904,13.641,12.592,11.359,17.810,12.958,16.337,12.559,14.860,23.680,13.385,30.270,138.241,309.339,412.427,349.991,180.194,50.848,18.138,3.503,-2.043,-1.444,-1.134,7.486,-3.173,-2.349,0.013,0.183,0.899,-0.785,-2.476,-5.182,-2.063,-6.679,-6.519,-1.564,5.407,-5.471,1.136,-2.689,-2.320,-6.022,-14.844,-8.612,-8.197,-14.829,-9.663,-5.224,-12.896,-15.878,-17.298,-18.644,-11.528,-19.147,-16.939,-17.549,-19.896,-14.194,-13.984,-12.573,-11.662,-23.239,-17.312,-17.831,-20.706,
255,41.556,923.006,2643.768,2382.237,809.791,45.560,-37.404,-26.568,-36.726,-35.058,-26.360,-29.787,-21.504,-6.320,14.031,13.262,-7.706,-18.968,-19.155,-17.417,-18.960,-17.021,-14.524,-13.493,-19.444,-14.657,-13.849,-17.334,-15.436,-15.950,-12.654,-14.943,-7.475,-3.401,-0.034,12.505,8.268,19.225,9.428,12.130,14.613,17.241,8.093,17.003,25.480,24.045,31.788,14.029,23.047,29.731,26.407,24.894,24.029,27.939,39.090,26.251,24.305,28.089,15.578,22.668,27.256,22.857,25.051,23.497,27.563,30.397,25.238,31.417,28.720,21.734,27.612,23.075,22.220,40.473,31.439,23.475,28.337,22.260,45.603,32.881,26.013,32.643,37.132,23.167,31.474,32.408,37.069,33.504,33.650,35.165,32.638,37.869,31.637,30.950,27.167,37.906,37.484,30.234,40.210,29.154,35.741,32.525,32.415,30.377,37.233,31.283,25.065,27.062,26.993,33.724,18.100,24.754,19.374,22.749,19.247,14.993,20.806,18.280,18.993,19.773,22.029,19.409,16.260,20.210,13.877,12.447,18.344,46.971,139.828,365.933,530.149,482.720,271.718,75.375,14.570,13.889,14.216,10.182,9.069,1.095,10.271,-2.267,-1.509,4.687,-2.363,-0.005,-2.317,-0.807,-0.836,-6.342,-4.022,1.401,1.936,6.504,-4.789,1.360,-2.395,-8.872,-6.013,-9.520,-9.188,-7.944,-6.523,-14.775,-19.385,-12.829,-7.905,-5.553,-14.014,-19.200,-16.395,-15.887,-19.653,-16.651,-18.582,-22.000,
260,-72.206,-71.005,-40.999,259.962,1409.260,2829.074,1801.625,350.674,-1.051,-21.378,-20.825,-15.898,-21.325,-16.821,-15.428,-14.100,7.241,27.931,16.367,8.306,-15.852,-15.092,-11.637,-9.664,-12.129,-8.350,-3.241,-12.172,-6.852,-3.584,-10.535,-4.206,-1.037,-1.903,-2.053,7.075,13.106,14.816,22.132,20.463,21.577,21.164,31.815,27.763,27.361,31.960,28.239,17.061,28.115,31.265,31.869,31.865,23.603,33.611,25.671,27.306,20.103,27.374,32.370,26.464,28.224,31.620,27.242,32.677,32.663,28.705,29.514,26.330,25.283,24.149,24.622,24.440,35.168,30.055,27.205,23.576,34.647,33.471,38.581,31.533,33.320,33.127,37.020,34.628,32.511,39.027,35.979,32.651,30.666,29.513,33.738,33.727,34.257,36.738,40.165,35.415,30.197,30.733,35.446,32.931,34.060,34.559,35.507,22.975,35.912,33.509,35.531,29.675,26.524,30.463,27.713,34.525,26.030,28.243,21.714,28.757,31.814,27.170,14.742,24.407,17.004,25.942,19.111,23.064,15.103,18.371,6.923,16.412,15.497,13.502,15.866,20.594,50.025,155.240,366.659,551.876,554.104,297.590,110.186,17.727,13.807,10.818,4.202,0.454,7.463,5.733,4.090,0.456,5.334,2.528,1.004,1.058,4.837,-5.073,5.863,-2.855,1.209,2.893,0.878,3.399,5.573,1.915,-3.498,0.700,-2.865,3.368,-1.240,-11.696,-4.652,-10.903,-10.317,-7.897,-14.350,-15.824,-9.582,-6.268,
265,-47.163,-47.552,-27.762,-34.318,-26.870,50.363,830.342,2503.191,2502.467,750.906,57.087,-12.855,-15.374,-12.239,-10.033,-13.816,-11.547,-11.949,-4.495,12.369,31.005,27.920,9.354,-5.175,-4.582,-3.438,-5.111,-1.625,-2.720,0.159,-4.984,0.245,2.641,3.177,13.354,17.022,18.071,20.556,27.806,23.736,34.834,28.736,31.938,34.203,44.682,37.938,33.759,39.169,29.283,32.088,28.713,37.909,36.640,35.793,35.412,33.230,20.249,24.471,28.519,34.014,28.625,26.907,30.868,25.874,23.773,29.114,31.053,33.709,28.392,23.811,25.090,27.294,29.170,25.488,22.770,22.589,37.038,24.478,23.329,33.222,32.476,26.984,30.540,30.346,34.331,29.936,31.783,29.198,28.114,29.574,33.078,35.525,31.612,31.739,31.355,35.214,29.370,30.976,27.795,37.515,31.040,32.093,27.401,32.647,27.634,29.117,26.610,28.075,30.251,25.859,28.159,24.327,25.661,27.567,24.617,23.892,22.961,26.949,24.854,26.517,19.387,15.975,18.602,20.478,23.934,19.710,17.090,21.829,18.699,15.619,13.697,12.251,15.821,16.084,15.840,13.943,16.801,51.375,181.965,454.626,599.879,525.165,260.928,86.311,20.382,9.522,5.636,4.713,2.982,7.419,1.797,4.481,6.708,0.611,3.355,2.705,-1.317,-0.661,8.130,-4.461,3.593,-2.884,0.462,1.511,1.461,10.331,2.495,3.544,2.247,0.775,-4.555,-3.139,-4.040,-7.026,-7.761,-2.242,
270,-40.786,-38.115,-24.668,-23.888,-22.599,-21.597,-19.417,-9.533,255.113,1574.484,2766.338,1546.732,307.922,7.069,-4.994,-12.554,-8.482,-6.558,-8.307,-6.690,-6.806,1.809,8.857,32.066,33.770,19.753,4.226,-2.135,1.928,0.668,1.165,2.234,10.428,6.153,13.355,26.395,31.424,31.539,36.812,26.088,35.914,34.321,45.187,45.663,47.241,50.360,47.946,39.673,48.078,39.815,41.482,45.381,37.921,39.468,36.765,38.889,36.793,35.168,32.196,32.477,32.455,30.080,26.976,34.418,29.844,29.577,30.570,33.006,30.828,28.396,24.032,26.718,31.384,29.745,25.626,25.092,26.444,23.747,27.171,22.352,29.314,30.445,35.442,32.213,25.101,38.710,33.510,33.181,35.840,28.380,31.476,30.933,33.671,31.047,29.190,29.019,34.830,28.146,26.754,29.361,34.886,29.611,32.489,27.415,27.149,29.706,30.124,32.624,28.558,28.932,25.268,26.442,26.234,28.438,23.736,27.939,19.167,22.623,25.414,25.724,25.796,20.284,19.446,22.255,22.979,18.710,14.897,14.698,18.375,14.377,20.612,16.913,13.888,13.074,15.792,12.746,9.508,10.700,11.878,11.978,9.422,13.621,44.484,165.884,442.586,654.755,571.971,327.940,89.736,13.354,7.863,9.754,6.177,0.949,-0.395,0.598,7.987,-1.640,5.452,3.886,1.703,-1.981,0.279,-1.144,3.157,-1.245,1.298,1.633,1.512,6.661,4.023,3.154,3.191,6.974,4.728,-4.164,
275,-32.784,-28.844,-28.279,-17.979,-11.069,-18.249,-14.105,-17.128,-11.922,-10.381,51.540,837.573,2420.778,2327.498,660.219,55.060,-4.893,-6.348,-0.781,-1.528,4.300,2.425,1.830,4.193,9.421,20.549,33.779,30.805,20.645,15.275,7.732,6.840,11.593,17.243,20.129,30.752,34.674,36.625,36.806,41.550,45.632,50.311,49.695,56.250,54.680,55.526,58.174,55.336,50.672,51.669,57.209,54.785,50.535,52.751,46.161,48.241,47.382,44.362,41.803,37.107,42.599,38.960,37.894,37.900,37.181,34.476,35.830,30.937,34.255,28.339,28.588,27.979,28.259,31.352,31.390,29.123,28.851,34.083,21.712,27.436,31.416,31.185,28.206,29.613,26.953,35.500,31.041,26.892,27.819,30.933,27.473,28.635,28.580,32.798,29.040,37.197,27.685,34.114,31.685,28.599,27.367,29.483,25.326,25.104,27.067,25.033,27.795,30.806,25.991,31.300,29.989,24.920,24.180,20.287,17.291,21.793,23.694,20.685,20.702,22.631,25.638,20.489,19.831,22.811,19.555,16.761,14.344,11.997,15.951,18.780,13.581,15.058,11.981,14.326,11.118,18.483,15.557,13.294,10.886,11.715,10.346,9.430,9.360,7.188,9.166,9.194,15.185,47.595,205.803,449.804,663.523,545.632,277.624,80.306,16.137,6.376,4.635,2.846,5.845,3.244,3.525,3.273,0.785,2.533,2.366,-0.737,3.425,2.612,0.306,-1.331,2.297,0.111,-4.701,-0.056,-1.711,6.484,
280,-25.113,-25.109,-21.842,-15.779,-16.348,-15.520,-15.790,-12.757,-10.685,-10.965,-11.096,-8.039,6.302,319.705,1844.898,2744.267,1292.246,174.534,1.158,-1.773,-0.113,1.313,0.985,2.678,5.360,4.638,11.918,14.647,23.594,25.371,31.725,23.356,24.196,19.473,32.910,35.680,44.690,50.351,54.617,51.253,53.346,57.695,65.968,70.900,72.599,70.291,65.579,65.080,71.337,60.205,61.481,55.227,62.915,65.039,55.990,54.594,54.128,50.245,48.482,41.447,50.932,40.743,41.845,39.880,41.949,38.339,33.521,32.293,30.459,36.158,31.060,38.710,28.303,30.728,30.971,29.119,34.112,32.254,34.905,31.064,31.242,28.571,27.684,31.380,31.272,30.243,30.195,29.871,28.677,27.664,34.660,32.513,27.646,27.242,27.486,28.015,25.364,30.631,28.391,28.746,28.593,25.272,29.367,30.559,29.503,27.014,24.608,28.068,27.204,26.095,23.920,24.062,22.742,22.942,20.832,21.802,24.058,21.485,20.664,21.602,22.010,19.402,19.961,19.221,20.409,15.074,18.172,16.641,18.084,15.445,16.723,17.635,16.760,13.386,14.772,11.561,12.903,10.102,12.438,11.101,11.456,11.411,8.862,7.966,10.047,7.902,10.442,8.637,4.898,5.927,10.257,15.086,67.077,250.921,512.146,671.219,530.360,260.442,68.849,10.118,6.337,2.491,2.761,4.952,3.799,5.824,2.988,3.239,-0.166,0.313,-0.458,2.365,1.825,0.099,1.852,1.594,
