Typ,Anal.,Probenname,ProbenID,Original,Kal.Kurve,Manuelle Verduennung,Anmerk.,Datum / Uhrzeit,Prb. Nr.,Inj. Nr.,Analyse(Inj.),Flaeche,Konz.,MW Konz.,Ergebnis,Std. Abw. Konz,Ausgeschl.,Inj. Vol.,
Unbekannt,NPOC,AP02_020625,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,17/06/2025 12:29:13,1,1,NPOC,17.49,5.126,5.150,NPOC:5.150mg/L,0.03316,0,50,
Unbekannt,NPOC,AP02_020625,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,17/06/2025 12:31:23,1,2,NPOC,17.65,5.173,5.150,NPOC:5.150mg/L,0.03316,0,50,
Unbekannt,NPOC,AP02_100625,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,17/06/2025 12:39:58,1,1,NPOC,18.84,5.522,5.527,NPOC:5.527mg/L,0.00622,0,50,
Unbekannt,NPOC,AP02_100625,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,17/06/2025 12:42:09,1,2,NPOC,18.87,5.531,5.527,NPOC:5.527mg/L,0.00622,0,50,
Unbekannt,NPOC,SP02_100625,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,17/06/2025 12:50:52,1,1,NPOC,30.72,9.004,8.716,NPOC:8.716mg/L,0.1140,1,50,
Unbekannt,NPOC,SP02_100625,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,17/06/2025 12:53:27,1,2,NPOC,29.46,8.635,8.716,NPOC:8.716mg/L,0.1140,0,50,
Unbekannt,NPOC,SP02_100625,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,17/06/2025 12:55:54,1,3,NPOC,30.01,8.796,8.716,NPOC:8.716mg/L,0.1140,0,50,
Unbekannt,NPOC,SP01_100625,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,17/06/2025 13:04:46,1,1,NPOC,29.77,8.726,8.623,NPOC:8.623mg/L,0.1451,0,50,
Unbekannt,NPOC,SP01_100625,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,17/06/2025 13:07:06,1,2,NPOC,29.07,8.521,8.623,NPOC:8.623mg/L,0.1451,0,50,
Unbekannt,NPOC,AP01_270525,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,17/06/2025 13:15:53,1,1,NPOC,17.43,5.109,5.121,NPOC:5.121mg/L,0.01658,0,50,
Unbekannt,NPOC,AP01_270525,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,17/06/2025 13:18:02,1,2,NPOC,17.51,5.132,5.121,NPOC:5.121mg/L,0.01658,0,50,
Unbekannt,NPOC,AP02_270525,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,17/06/2025 13:26:35,1,1,NPOC,18.03,5.285,5.251,NPOC:5.251mg/L,0.04767,0,50,
Unbekannt,NPOC,AP02_270525,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,17/06/2025 13:28:53,1,2,NPOC,17.80,5.217,5.251,NPOC:5.251mg/L,0.04767,0,50,
Unbekannt,NPOC,AP01_020625,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,17/06/2025 13:37:32,1,1,NPOC,18.27,5.355,5.371,NPOC:5.371mg/L,0.02280,0,50,
Unbekannt,NPOC,AP01_020625,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,17/06/2025 13:39:58,1,2,NPOC,18.38,5.387,5.371,NPOC:5.371mg/L,0.02280,0,50,
Unbekannt,NPOC,AP01_100625,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,17/06/2025 13:48:31,1,1,NPOC,16.96,4.971,4.978,NPOC:4.978mg/L,0.01036,0,50,
Unbekannt,NPOC,AP01_100625,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,17/06/2025 13:50:42,1,2,NPOC,16.40,4.807,4.978,NPOC:4.978mg/L,0.01036,1,50,
Unbekannt,NPOC,AP01_100625,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,17/06/2025 13:52:54,1,3,NPOC,17.01,4.986,4.978,NPOC:4.978mg/L,0.01036,0,50,
Unbekannt,NPOC,AP01_240625,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 18:10:45,1,1,NPOC,17.70,5.188,5.030,NPOC:5.030mg/L,0.05389,1,50,
Unbekannt,NPOC,AP01_240625,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 18:12:56,1,2,NPOC,17.03,4.992,5.030,NPOC:5.030mg/L,0.05389,0,50,
Unbekannt,NPOC,AP01_240625,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 18:15:01,1,3,NPOC,17.29,5.068,5.030,NPOC:5.030mg/L,0.05389,0,50,
Unbekannt,NPOC,AP02_240625,,C:\TOC-L\Methods\NPOC_Sept21.met,C:\TOC-L\CalCurves\NPOC 0.5 - 10 ppm.2022_11_23_16_22_17.cal,1.00,,30/07/2025 18:23:35,1,1,NPOC,17.82,5.223,5.187,NPOC:5.187mg/L,0.05181,0,50,
