AP02_080725.csv;;Schick;30.07.2025 16:06:22;GENESYS 10S UV-Vis;2L9S114206;4.005
nm;A
190;1,5471
191;1,3626
192;1,1823
193;1,0289
194;0,9059
195;0,8056
196;0,7395
197;0,6824
198;0,6238
199;0,5809
200;0,5484
201;0,5201
202;0,4966
203;0,4765
204;0,458
205;0,4433
206;0,429
207;0,4155
208;0,4043
209;0,3933
210;0,3834
211;0,3735
212;0,3647
213;0,3559
214;0,3468
215;0,3386
216;0,3296
217;0,322
218;0,3144
219;0,3064
220;0,2992
221;0,2926
222;0,2861
223;0,2799
224;0,2741
225;0,268
226;0,2622
227;0,2576
228;0,2531
229;0,2481
230;0,2435
231;0,2378
232;0,2335
233;0,2298
234;0,2256
235;0,222
236;0,2188
237;0,2155
238;0,2121
239;0,2092
240;0,2065
241;0,2043
242;0,2019
243;0,1991
244;0,1968
245;0,1952
246;0,1936
247;0,1918
248;0,19
249;0,1882
250;0,1865
251;0,1849
252;0,1835
253;0,1818
254;0,1797
255;0,1783
256;0,1766
257;0,1747
258;0,1734
259;0,172
260;0,17
261;0,1682
262;0,1663
263;0,1641
264;0,1623
265;0,1603
266;0,158
267;0,1559
268;0,1534
269;0,1516
270;0,1498
271;0,1478
272;0,1455
273;0,1433
274;0,1411
275;0,1391
276;0,137
277;0,1348
278;0,1321
279;0,1301
280;0,1283
281;0,1262
282;0,1241
283;0,1219
284;0,1198
285;0,118
286;0,1161
287;0,1137
288;0,1117
289;0,1099
290;0,1078
291;0,1058
292;0,1039
293;0,1022
294;0,1004
295;0,0988
296;0,0972
297;0,0955
298;0,0939
299;0,0923
300;0,0908
301;0,0893
302;0,0875
303;0,086
304;0,0846
305;0,0831
306;0,0818
307;0,0805
308;0,0792
309;0,078
310;0,0766
311;0,0757
312;0,0738
313;0,0731
314;0,072
315;0,0711
316;0,0699
317;0,0687
318;0,0678
319;0,0667
320;0,0655
321;0,0645
322;0,0635
323;0,0624
324;0,0617
325;0,0604
326;0,0594
327;0,0584
328;0,0576
329;0,0567
330;0,0561
331;0,0551
332;0,0543
333;0,0535
334;0,0528
335;0,0518
336;0,0511
337;0,0503
338;0,0496
339;0,0486
340;0,0478
341;0,0472
342;0,0465
343;0,0458
344;0,045
345;0,0446
346;0,0437
347;0,0432
348;0,0422
349;0,0413
350;0,0408
351;0,0404
352;0,0395
353;0,039
354;0,0383
355;0,0379
356;0,0371
357;0,0369
358;0,0361
359;0,0354
360;0,0349
361;0,0345
362;0,0339
363;0,0333
364;0,0326
365;0,032
366;0,0316
367;0,0308
368;0,0305
369;0,0299
370;0,0294
371;0,029
372;0,0285
373;0,0279
374;0,0274
375;0,0271
376;0,0266
377;0,0262
378;0,0258
379;0,0253
380;0,025
381;0,0244
382;0,0241
383;0,0238
384;0,0235
385;0,0227
386;0,0227
387;0,0222
