Wavelength_nm,Absorbance,Date,Sample
190,1.5257,2025-05-27,AP01
190,1.5964,2025-05-27,AP02
191,1.3241,2025-05-27,AP01
191,1.3993,2025-05-27,AP02
192,1.1459,2025-05-27,AP01
192,1.2192,2025-05-27,AP02
193,0.9596,2025-05-27,AP01
193,1.0343,2025-05-27,AP02
194,0.8134,2025-05-27,AP01
194,0.8864,2025-05-27,AP02
195,0.7028,2025-05-27,AP01
195,0.7753,2025-05-27,AP02
196,0.6117,2025-05-27,AP01
196,0.6834,2025-05-27,AP02
197,0.5498,2025-05-27,AP01
197,0.6203,2025-05-27,AP02
198,0.494,2025-05-27,AP01
198,0.5641,2025-05-27,AP02
199,0.4389,2025-05-27,AP01
199,0.5077,2025-05-27,AP02
200,0.3999,2025-05-27,AP01
200,0.4685,2025-05-27,AP02
201,0.3721,2025-05-27,AP01
201,0.4396,2025-05-27,AP02
202,0.3461,2025-05-27,AP01
202,0.4128,2025-05-27,AP02
203,0.3261,2025-05-27,AP01
203,0.3921,2025-05-27,AP02
204,0.3095,2025-05-27,AP01
204,0.3746,2025-05-27,AP02
205,0.2941,2025-05-27,AP01
205,0.3583,2025-05-27,AP02
206,0.2826,2025-05-27,AP01
206,0.3458,2025-05-27,AP02
207,0.272,2025-05-27,AP01
207,0.3338,2025-05-27,AP02
208,0.2629,2025-05-27,AP01
208,0.3236,2025-05-27,AP02
209,0.2553,2025-05-27,AP01
209,0.3149,2025-05-27,AP02
210,0.2484,2025-05-27,AP01
210,0.3069,2025-05-27,AP02
211,0.2417,2025-05-27,AP01
211,0.2989,2025-05-27,AP02
212,0.2359,2025-05-27,AP01
212,0.292,2025-05-27,AP02
213,0.2309,2025-05-27,AP01
213,0.2861,2025-05-27,AP02
214,0.2254,2025-05-27,AP01
214,0.2793,2025-05-27,AP02
215,0.2201,2025-05-27,AP01
215,0.2728,2025-05-27,AP02
216,0.2149,2025-05-27,AP01
216,0.2664,2025-05-27,AP02
217,0.2102,2025-05-27,AP01
217,0.2605,2025-05-27,AP02
218,0.2059,2025-05-27,AP01
218,0.2551,2025-05-27,AP02
219,0.2015,2025-05-27,AP01
219,0.2496,2025-05-27,AP02
220,0.1972,2025-05-27,AP01
220,0.2443,2025-05-27,AP02
221,0.1934,2025-05-27,AP01
221,0.2395,2025-05-27,AP02
222,0.1896,2025-05-27,AP01
222,0.2347,2025-05-27,AP02
223,0.1859,2025-05-27,AP01
223,0.2302,2025-05-27,AP02
224,0.1824,2025-05-27,AP01
224,0.2261,2025-05-27,AP02
225,0.1788,2025-05-27,AP01
225,0.2218,2025-05-27,AP02
226,0.1755,2025-05-27,AP01
226,0.2178,2025-05-27,AP02
227,0.1723,2025-05-27,AP01
227,0.214,2025-05-27,AP02
228,0.1696,2025-05-27,AP01
228,0.2111,2025-05-27,AP02
229,0.1668,2025-05-27,AP01
229,0.2078,2025-05-27,AP02
230,0.1635,2025-05-27,AP01
230,0.204,2025-05-27,AP02
231,0.1605,2025-05-27,AP01
231,0.2005,2025-05-27,AP02
232,0.1575,2025-05-27,AP01
232,0.1971,2025-05-27,AP02
233,0.155,2025-05-27,AP01
233,0.1944,2025-05-27,AP02
234,0.1523,2025-05-27,AP01
234,0.1913,2025-05-27,AP02
235,0.1501,2025-05-27,AP01
235,0.1887,2025-05-27,AP02
236,0.1478,2025-05-27,AP01
236,0.1863,2025-05-27,AP02
237,0.1456,2025-05-27,AP01
237,0.1839,2025-05-27,AP02
238,0.1434,2025-05-27,AP01
238,0.1814,2025-05-27,AP02
239,0.1412,2025-05-27,AP01
239,0.179,2025-05-27,AP02
240,0.1392,2025-05-27,AP01
240,0.1768,2025-05-27,AP02
241,0.1376,2025-05-27,AP01
241,0.1751,2025-05-27,AP02
242,0.136,2025-05-27,AP01
242,0.1735,2025-05-27,AP02
243,0.1341,2025-05-27,AP01
243,0.1714,2025-05-27,AP02
244,0.1322,2025-05-27,AP01
244,0.1694,2025-05-27,AP02
245,0.131,2025-05-27,AP01
245,0.168,2025-05-27,AP02
246,0.1297,2025-05-27,AP01
246,0.1668,2025-05-27,AP02
247,0.1284,2025-05-27,AP01
247,0.1655,2025-05-27,AP02
248,0.1273,2025-05-27,AP01
248,0.1643,2025-05-27,AP02
249,0.1258,2025-05-27,AP01
249,0.1627,2025-05-27,AP02
250,0.1245,2025-05-27,AP01
250,0.1613,2025-05-27,AP02
251,0.1233,2025-05-27,AP01
251,0.1602,2025-05-27,AP02
252,0.1222,2025-05-27,AP01
252,0.159,2025-05-27,AP02
253,0.1209,2025-05-27,AP01
253,0.1578,2025-05-27,AP02
254,0.1198,2025-05-27,AP01
254,0.1566,2025-05-27,AP02
255,0.1185,2025-05-27,AP01
255,0.1551,2025-05-27,AP02
256,0.1173,2025-05-27,AP01
256,0.1539,2025-05-27,AP02
257,0.1159,2025-05-27,AP01
257,0.1525,2025-05-27,AP02
258,0.1148,2025-05-27,AP01
258,0.1514,2025-05-27,AP02
259,0.1138,2025-05-27,AP01
259,0.1505,2025-05-27,AP02
260,0.1126,2025-05-27,AP01
260,0.1494,2025-05-27,AP02
261,0.1113,2025-05-27,AP01
261,0.1479,2025-05-27,AP02
262,0.1101,2025-05-27,AP01
262,0.1467,2025-05-27,AP02
263,0.1087,2025-05-27,AP01
263,0.1453,2025-05-27,AP02
264,0.1072,2025-05-27,AP01
264,0.1437,2025-05-27,AP02
265,0.1058,2025-05-27,AP01
265,0.1424,2025-05-27,AP02
266,0.1045,2025-05-27,AP01
266,0.141,2025-05-27,AP02
267,0.1029,2025-05-27,AP01
267,0.1393,2025-05-27,AP02
