SP02_240625.csv;;Schick;30.07.2025 16:06:23;GENESYS 10S UV-Vis;2L9S114206;4.005
nm;A
190;1,4424
191;1,2817
192;1,1334
193;1,0085
194;0,9094
195;0,8294
196;0,7761
197;0,7309
198;0,6827
199;0,6466
200;0,6179
201;0,5924
202;0,5698
203;0,5494
204;0,5298
205;0,5137
206;0,4973
207;0,4817
208;0,4681
209;0,4553
210;0,4434
211;0,4318
212;0,4215
213;0,4111
214;0,4012
215;0,3914
216;0,3815
217;0,373
218;0,3647
219;0,3563
220;0,3485
221;0,3417
222;0,3349
223;0,3282
224;0,3223
225;0,316
226;0,3099
227;0,3049
228;0,3001
229;0,2946
230;0,2895
231;0,2834
232;0,2785
233;0,2745
234;0,2697
235;0,2656
236;0,2618
237;0,2579
238;0,254
239;0,2505
240;0,2473
241;0,2447
242;0,2418
243;0,2386
244;0,236
245;0,2338
246;0,2319
247;0,2298
248;0,2276
249;0,2254
250;0,2234
251;0,2216
252;0,22
253;0,218
254;0,2155
255;0,2138
256;0,212
257;0,2099
258;0,2082
259;0,2068
260;0,2045
261;0,2025
262;0,2004
263;0,198
264;0,1959
265;0,1937
266;0,1911
267;0,1888
268;0,1861
269;0,1839
270;0,1819
271;0,1797
272;0,1771
273;0,1747
274;0,1721
275;0,1697
276;0,1674
277;0,1646
278;0,1618
279;0,1593
280;0,1571
281;0,1547
282;0,1522
283;0,1496
284;0,1471
285;0,1448
286;0,1424
287;0,1396
288;0,137
289;0,1349
290;0,1323
291;0,1298
292;0,1278
293;0,1255
294;0,1234
295;0,1214
296;0,1195
297;0,1175
298;0,1156
299;0,1137
300;0,1118
301;0,1103
302;0,108
303;0,1062
304;0,1045
305;0,1027
306;0,1012
307;0,0997
308;0,098
309;0,0966
310;0,0951
311;0,0939
312;0,0917
313;0,0908
314;0,0892
315;0,0881
316;0,0866
317;0,0852
318;0,084
319;0,0827
320;0,0811
321;0,0799
322;0,0785
323;0,0773
324;0,0762
325;0,0749
326;0,0736
327;0,0723
328;0,0713
329;0,0702
330;0,0693
331;0,0683
332;0,067
333;0,066
334;0,0653
335;0,064
336;0,0632
337;0,062
338;0,0611
339;0,0601
340;0,0593
341;0,0587
342;0,0575
343;0,0567
344;0,0557
345;0,0552
346;0,0542
347;0,0535
348;0,0525
349;0,0514
350;0,0511
351;0,0503
352;0,0493
353;0,0487
354;0,0479
355;0,0472
356;0,0464
357;0,046
358;0,0451
359;0,0442
360;0,0438
361;0,043
362;0,0423
363;0,0416
364;0,041
365;0,0402
366;0,0396
367;0,0389
368;0,0383
369;0,0377
370;0,037
371;0,0365
372;0,0358
373;0,0353
374;0,0346
375;0,0339
376;0,0334
377;0,0329
378;0,0326
379;0,0319
380;0,0316
381;0,0308
382;0,0303
383;0,0298
384;0,0296
385;0,0287
386;0,0284
387;0,0279
388;0,0274
389;0,027
390;0,0266
391;0,0263
392;0,0258
393;0,0254
394;0,025
395;0,0244
396;0,024
397;0,0235
398;0,0233
399;0,023
400;0,0226
401;0,0224
402;0,0217
403;0,0214
404;0,0212
405;0,0208
406;0,0205
407;0,02
408;0,0196
409;0,0195
410;0,0194
411;0,0189
412;0,0188
413;0,0185
414;0,018
415;0,0179
416;0,0173
417;0,0174
418;0,0172
419;0,0169
420;0,0166
421;0,0164
422;0,0163
423;0,016
424;0,0159
425;0,0155
426;0,0153
427;0,0151
428;0,0149
429;0,0145
430;0,0145
431;0,0142
432;0,0141
433;0,0137
434;0,0136
435;0,0134
436;0,0131
437;0,0129
438;0,0129
439;0,0127
440;0,0124
441;0,0123
442;0,0122
443;0,0119
444;0,0117
445;0,0117
446;0,0112
447;0,0114
448;0,0111
449;0,0109
450;0,0107
451;0,0103
452;0,0105
453;0,0102
454;0,0098
455;0,0099
456;0,01
457;0,0096
458;0,0098
459;0,0096
460;0,0095
461;0,0095
462;0,0093
463;0,0092
464;0,0093
465;0,0091
466;0,0087
467;0,0087
468;0,0086
469;0,0086
470;0,0085
471;0,0084
472;0,0082
473;0,0082
474;0,0082
475;0,008
476;0,0081
477;0,0079
478;0,0074
479;0,0076
480;0,0076
481;0,0075
482;0,0076
483;0,0067
484;0,0071
485;0,0073
486;0,0073
487;0,0071
488;0,0069
489;0,0069
490;0,0068
491;0,0066
492;0,0064
493;0,0067
494;0,0066
495;0,0063
496;0,0063
497;0,0062
498;0,0063
499;0,0061
500;0,0059
501;0,0058
502;0,0059
503;0,0055
504;0,0058
505;0,0055
506;0,0054
507;0,0054
508;0,0055
509;0,0054
510;0,0054
511;0,0052
512;0,0047
513;0,005
514;0,0054
