Wavelength_nm,Absorbance,Date,Sample
190,1.557,2025-06-10,SP01
190,1.5524,2025-06-10,SP02
191,1.3837,2025-06-10,SP01
191,1.3794,2025-06-10,SP02
192,1.2368,2025-06-10,SP01
192,1.2324,2025-06-10,SP02
193,1.0852,2025-06-10,SP01
193,1.0817,2025-06-10,SP02
194,0.9645,2025-06-10,SP01
194,0.962,2025-06-10,SP02
195,0.8747,2025-06-10,SP01
195,0.8729,2025-06-10,SP02
196,0.7999,2025-06-10,SP01
196,0.7993,2025-06-10,SP02
197,0.748,2025-06-10,SP01
197,0.747,2025-06-10,SP02
198,0.7,2025-06-10,SP01
198,0.6987,2025-06-10,SP02
199,0.6503,2025-06-10,SP01
199,0.6503,2025-06-10,SP02
200,0.6137,2025-06-10,SP01
200,0.6146,2025-06-10,SP02
201,0.5864,2025-06-10,SP01
201,0.5863,2025-06-10,SP02
202,0.5601,2025-06-10,SP01
202,0.5604,2025-06-10,SP02
203,0.537,2025-06-10,SP01
203,0.5374,2025-06-10,SP02
204,0.5165,2025-06-10,SP01
204,0.5171,2025-06-10,SP02
205,0.4966,2025-06-10,SP01
205,0.497,2025-06-10,SP02
206,0.4803,2025-06-10,SP01
206,0.4804,2025-06-10,SP02
207,0.4634,2025-06-10,SP01
207,0.4636,2025-06-10,SP02
208,0.4485,2025-06-10,SP01
208,0.4485,2025-06-10,SP02
209,0.4358,2025-06-10,SP01
209,0.4349,2025-06-10,SP02
210,0.423,2025-06-10,SP01
210,0.4223,2025-06-10,SP02
211,0.4109,2025-06-10,SP01
211,0.4094,2025-06-10,SP02
212,0.3999,2025-06-10,SP01
212,0.3982,2025-06-10,SP02
213,0.3904,2025-06-10,SP01
213,0.3875,2025-06-10,SP02
214,0.3804,2025-06-10,SP01
214,0.3767,2025-06-10,SP02
215,0.3698,2025-06-10,SP01
215,0.3661,2025-06-10,SP02
216,0.3599,2025-06-10,SP01
216,0.3556,2025-06-10,SP02
217,0.3511,2025-06-10,SP01
217,0.3458,2025-06-10,SP02
218,0.3429,2025-06-10,SP01
218,0.337,2025-06-10,SP02
219,0.3345,2025-06-10,SP01
219,0.3281,2025-06-10,SP02
220,0.3263,2025-06-10,SP01
220,0.3195,2025-06-10,SP02
221,0.3193,2025-06-10,SP01
221,0.3119,2025-06-10,SP02
222,0.3123,2025-06-10,SP01
222,0.3044,2025-06-10,SP02
223,0.3058,2025-06-10,SP01
223,0.2976,2025-06-10,SP02
224,0.2994,2025-06-10,SP01
224,0.2909,2025-06-10,SP02
225,0.293,2025-06-10,SP01
225,0.2843,2025-06-10,SP02
226,0.2869,2025-06-10,SP01
226,0.2779,2025-06-10,SP02
227,0.2812,2025-06-10,SP01
227,0.2721,2025-06-10,SP02
228,0.2774,2025-06-10,SP01
228,0.2674,2025-06-10,SP02
229,0.2728,2025-06-10,SP01
229,0.2622,2025-06-10,SP02
230,0.2671,2025-06-10,SP01
230,0.2564,2025-06-10,SP02
231,0.2616,2025-06-10,SP01
231,0.2509,2025-06-10,SP02
232,0.2559,2025-06-10,SP01
232,0.2456,2025-06-10,SP02
233,0.2518,2025-06-10,SP01
233,0.2414,2025-06-10,SP02
234,0.2472,2025-06-10,SP01
234,0.2369,2025-06-10,SP02
235,0.2434,2025-06-10,SP01
235,0.2329,2025-06-10,SP02
236,0.2395,2025-06-10,SP01
236,0.2292,2025-06-10,SP02
237,0.2358,2025-06-10,SP01
237,0.2256,2025-06-10,SP02
238,0.232,2025-06-10,SP01
238,0.222,2025-06-10,SP02
239,0.228,2025-06-10,SP01
239,0.2185,2025-06-10,SP02
240,0.2248,2025-06-10,SP01
240,0.2154,2025-06-10,SP02
241,0.2228,2025-06-10,SP01
241,0.213,2025-06-10,SP02
242,0.2211,2025-06-10,SP01
242,0.2106,2025-06-10,SP02
243,0.2176,2025-06-10,SP01
243,0.2077,2025-06-10,SP02
244,0.2143,2025-06-10,SP01
244,0.205,2025-06-10,SP02
245,0.2124,2025-06-10,SP01
245,0.2031,2025-06-10,SP02
246,0.2112,2025-06-10,SP01
246,0.2013,2025-06-10,SP02
247,0.2098,2025-06-10,SP01
247,0.1995,2025-06-10,SP02
248,0.2082,2025-06-10,SP01
248,0.198,2025-06-10,SP02
249,0.2057,2025-06-10,SP01
249,0.1959,2025-06-10,SP02
250,0.2037,2025-06-10,SP01
250,0.1941,2025-06-10,SP02
251,0.2025,2025-06-10,SP01
251,0.1927,2025-06-10,SP02
252,0.2013,2025-06-10,SP01
252,0.1912,2025-06-10,SP02
